Background,Dwelling Type ID,Dwelling Type Name,Age ID,Age Name,Gender ID,Gender Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,2,women,287567,285242,286183,284981,287095,284363,281013,276024,272118
,,,,,4,men and women,592669,587719,588701,586900,591736,585484,578531,568055,560038
,,,010-19,10-19 years,1,men,313064,307608,304932,304410,310319,314264,318294,322651,326999
,,,,,2,women,291936,285896,283003,282938,288290,291908,295838,299692,303910
,,,,,4,men and women,605000,593504,587935,587348,598609,606172,614132,622343,630909
,,,020-29,20-29 years,1,men,175494,180036,183783,183303,183093,178580,171427,164137,156805
,,,,,2,women,153820,157783,161106,160971,160314,156000,150105,143699,135764
,,,,,4,men and women,329314,337819,344889,344274,343407,334580,321532,307836,292569
,,,030-39,30-39 years,1,men,221325,213601,208229,204720,206172,205455,206411,207459,210433
,,,,,2,women,232132,223764,218009,214045,215623,214824,215672,215618,219158
,,,,,4,men and women,453457,437365,426238,418765,421795,420279,422083,423077,429591
,,,040-49,40-49 years,1,men,342220,339730,336575,329700,324662,315417,306988,300061,294123
,,,,,2,women,322397,320807,317950,312684,308285,300080,292534,287027,281463
,,,,,4,men and women,664617,660537,654525,642384,632947,615497,599522,587088,575586
,,,050-59,50-59 years,1,men,300594,300590,305871,309922,317517,321929,324100,324713,326871
,,,,,2,women,275712,275043,279617,282586,289189,292489,294084,294481,296451
,,,,,4,men and women,576306,575633,585488,592508,606706,614418,618184,619194,623322
,,,060-64,60-64 years,1,men,158173,153049,148226,145328,146158,144792,143178,143005,141218
,,,,,2,women,144367,139387,135108,132698,132731,131708,130264,129422,127972
,,,,,4,men and women,302540,292436,283334,278026,278889,276500,273442,272427,269190
,,,065-69,65-69 years,1,men,167524,167496,164826,159588,154693,149347,144514,139602,136878
,,,,,2,women,149664,150017,148188,143748,139607,134852,130245,125849,123723
,,,,,4,men and women,317188,317513,313014,303336,294300,284199,274759,265451,260601
,,,070-79,70-79 years,1,men,180338,191902,205575,218035,231165,240787,248786,254213,258357
,,,,,2,women,158225,168212,179485,190470,201996,210678,217965,223080,227173
,,,,,4,men and women,338563,360114,385060,408505,433161,451465,466751,477293,485530
,,,080+,80+ years,1,men,75157,76088,77576,79215,82136,84806,87783,92003,95654
,,,,,2,women,75614,75892,76811,77510,79616,81472,83986,87275,90476
,,,,,4,men and women,150771,151980,154387,156725,161752,166278,171769,179278,186130
,SMBO,one- or two-dwelling buildings -- tenant-owned,0-9,-9 years,1,men,12098,12213,12523,12735,13445,13739,14256,14628,15160
,,,,,2,women,11569,11762,11920,12006,12661,12993,13653,13903,14341
,,,,,4,men and women,23667,23975,24443,24741,26106,26732,27909,28531,29501
,,,010-19,10-19 years,1,men,9408,9046,8827,8674,8861,9138,9588,9989,10567
,,,,,2,women,8787,8535,8478,8350,8519,8744,9153,9540,10142
,,,,,4,men and women,18195,17581,17305,17024,17380,17882,18741,19529,20709
,,,020-29,20-29 years,1,men,6873,7114,7195,7214,7363,7186,7086,6895,6631
,,,,,2,women,6883,7120,7102,7182,7310,7317,7306,7117,6766
,,,,,4,men and women,13756,14234,14297,14396,14673,14503,14392,14012,13397
,,,030-39,30-39 years,1,men,9183,8934,8771,8850,9396,9720,10365,10642,11430
,,,,,2,women,9784,9558,9590,9503,10003,10374,10985,11442,12300
,,,,,4,men and women,18967,18492,18361,18353,19399,20094,21350,22084,23730
,,,040-49,40-49 years,1,men,9364,9250,9335,9209,9362,9332,9563,9765,10080
,,,,,2,women,10646,10498,10400,10221,10272,10233,10377,10517,10896
,,,,,4,men and women,20010,19748,19735,19430,19634,19565,19940,20282,20976
,,,050-59,50-59 years,1,men,8527,8416,8480,8399,8587,8693,8776,8712,8862
,,,,,2,women,10082,9941,9914,9872,9987,10048,10245,10288,10462
,,,,,4,men and women,18609,18357,18394,18271,18574,18741,19021,19000,19324
,,,060-64,60-64 years,1,men,4574,4452,4279,4128,4137,4135,4170,4207,4134
,,,,,2,women,5190,5098,5070,4962,5087,5049,5090,4985,4939
,,,,,4,men and women,9764,9550,9349,9090,9224,9184,9260,9192,9073
,,,065-69,65-69 years,1,men,4576,4742,4698,4607,4489,4381,4357,4233,4194
,,,,,2,women,5501,5589,5512,5369,5272,5178,5157,5129,5124
,,,,,4,men and women,10077,10331,10210,9976,9761,9559,9514,9362,9318
,,,070-79,70-79 years,1,men,5730,6043,6416,6782,7242,7504,7847,8060,8412
,,,,,2,women,7302,7633,8094,8527,8952,9322,9677,9958,10269
,,,,,4,men and women,13032,13676,14510,15309,16194,16826,17524,18018,18681
,,,080+,80+ years,1,men,2960,2954,3059,3081,3251,3330,3497,3695,3782
,,,,,2,women,4251,4283,4361,4412,4620,4732,4967,5176,5382
,,,,,4,men and women,7211,7237,7420,7493,7871,8062,8464,8871,9164
,SMHY0,one- or two-dwelling buildings -- rented,0-9,-9 years,1,men,8289,8428,8471,8627,8749,8818,8383,7951,7853
,,,,,2,women,7812,7857,7899,8213,8260,8273,7974,7553,7323
,,,,,4,men and women,16101,16285,16370,16840,17009,17091,16357,15504,15176
,,,010-19,10-19 years,1,men,7752,7401,7250,7287,7298,7384,7550,7574,7748
,,,,,2,women,7372,7035,6873,6755,6751,6905,6980,7070,7261
,,,,,4,men and women,15124,14436,14123,14042,14049,14289,14530,14644,15009
,,,020-29,20-29 years,1,men,7380,7493,7529,7598,7676,7555,7257,6910,6591
,,,,,2,women,7342,7401,7494,7516,7501,7391,6957,6587,6209
,,,,,4,men and women,14722,14894,15023,15114,15177,14946,14214,13497,12800
,,,030-39,30-39 years,1,men,6002,6030,6080,6234,6437,6536,6578,6497,6740
,,,,,2,women,6690,6557,6507,6694,6996,7193,7219,7184,7462
,,,,,4,men and women,12692,12587,12587,12928,13433,13729,13797,13681,14202
